base_command,dataset,num_processors,n,d,k,time
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,10,20,6.78183
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,10,20,7.92306
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,10,20,4.70276
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,10,20,7.98591
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,10,20,6.71739
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,100,20,32.7771
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,100,20,28.6731
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,100,20,29.8059
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,100,20,32.1586
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,100,20,31.9189
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,784,20,109.689
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,784,20,92.2021
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,784,20,86.3186
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,784,20,109.494
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,100,784,20,88.5927
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,10,20,52.1226
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,10,20,54.7217
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,10,20,48.3014
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,10,20,54.8131
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,10,20,49.5941
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,100,20,217.666
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,100,20,234.89
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,100,20,229.957
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,100,20,226.92
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,100,20,258.922
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,784,20,1871.7
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,784,20,1763.42
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,784,20,1779.88
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,784,20,1816
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,1000,784,20,1879.38
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,10,20,1824.82
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,10,20,1960.43
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,10,20,2081.84
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,10,20,1998.59
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,10,20,1885.02
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,100,20,13287.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,100,20,12939.4
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,100,20,14651.1
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,100,20,14155.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,100,20,13921.9
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,784,20,118462
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,784,20,113801
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,784,20,113238
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,784,20,114384
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,1,10000,784,20,117538
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,10,20,2.52271
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,10,20,3.84398
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,10,20,6.57788
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,10,20,7.91924
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,10,20,3.42254
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,100,20,21.3179
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,100,20,22.6416
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,100,20,20.9019
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,100,20,20.707
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,100,20,18.4805
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,784,20,50.6888
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,784,20,53.2722
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,784,20,67.4257
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,784,20,45.9962
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,100,784,20,69.4055
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,10,20,39.8548
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,10,20,36.9445
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,10,20,24.0973
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,10,20,38.4991
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,10,20,19.8644
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,100,20,129.523
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,100,20,119.676
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,100,20,125.299
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,100,20,108.407
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,100,20,102.39
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,784,20,900.611
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,784,20,888.908
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,784,20,905.809
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,784,20,893.438
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,1000,784,20,932.137
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,10,20,945.955
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,10,20,947.39
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,10,20,939.368
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,10,20,944.277
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,10,20,946.672
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,100,20,6627.29
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,100,20,6221.63
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,100,20,6224.64
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,100,20,6293.79
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,100,20,6209.96
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,784,20,59496.4
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,784,20,58305.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,784,20,60246.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,784,20,58921.8
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,2,10000,784,20,58326.4
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,10,20,3.20177
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,10,20,3.36136
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,10,20,2.09523
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,10,20,7.39876
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,10,20,8.9785
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,100,20,16.4019
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,100,20,13.3232
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,100,20,16.4534
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,100,20,16.9112
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,100,20,11.6014
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,784,20,51.0765
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,784,20,55.5783
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,784,20,58.3057
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,784,20,60.4115
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,100,784,20,41.6358
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,10,20,21.0095
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,10,20,34.1654
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,10,20,19.4921
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,10,20,30.2576
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,10,20,16.0998
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,100,20,90.6254
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,100,20,99.1691
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,100,20,139.939
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,100,20,85.6005
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,100,20,89.3815
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,784,20,679.516
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,784,20,625.918
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,784,20,619.467
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,784,20,656.422
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,1000,784,20,696.609
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,10,20,678.838
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,10,20,737.369
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,10,20,726.349
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,10,20,712.38
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,10,20,753.05
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,100,20,4532.8
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,100,20,4619.58
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,100,20,4894.98
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,100,20,4456.81
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,100,20,4429.96
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,784,20,41807.9
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,784,20,42710.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,784,20,41106.2
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,784,20,43082.5
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,3,10000,784,20,44245.7
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,10,20,4.04646
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,10,20,3.86287
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,10,20,3.34556
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,10,20,2.00893
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,10,20,3.59311
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,100,20,11.6601
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,100,20,11.1613
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,100,20,12.8858
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,100,20,7.52664
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,100,20,13.3303
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,784,20,33.8857
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,784,20,50.2949
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,784,20,57.2431
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,784,20,68.9125
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,100,784,20,57.1953
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,10,20,22.1391
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,10,20,20.1877
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,10,20,17.5362
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,10,20,20.3444
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,10,20,21.3051
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,100,20,93.084
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,100,20,74.4571
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,100,20,100.341
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,100,20,98.8628
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,100,20,67.2401
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,784,20,485.345
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,784,20,481.394
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,784,20,613.735
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,784,20,855.649
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,1000,784,20,507.075
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,10,20,623.421
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,10,20,564.011
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,10,20,690.322
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,10,20,688.397
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,10,20,572.606
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,100,20,3712.51
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,100,20,3787.45
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,100,20,3957.66
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,100,20,3723.45
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,100,20,3789.91
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,784,20,34443.9
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,784,20,36393.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,784,20,37666.4
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,784,20,34971.6
mpirun -np {} bin/mpi {} {} {} {},datasets/mnist_test.csv,4,10000,784,20,36239.1
